Unnamed: 0,host_id,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,9464908,1,2016-11-14,2016-11-14,100,10,6,,10,,,0.18
1,48449293,6,2016-08-01,2017-02-13,100,10,10,10,10,10,10,0.65
2,45839570,1,2017-01-01,2017-01-01,80,10,8,10,10,10,10,0.24
3,171168,14,2014-07-20,2016-08-21,91,9,8,10,10,10,9,0.41
4,8258320,22,2014-11-17,2017-02-05,97,10,10,10,10,9,9,0.73
5,92997417,42,2016-09-08,2017-04-18,94,9,9,10,10,10,10,5.29
6,76546301,7,2016-12-02,2016-12-29,94,10,10,10,10,10,10,1.37
7,8851608,20,2014-10-31,2017-02-28,99,10,10,10,10,10,10,0.66
8,1483219,0,,,,,,,,,,
9,12521683,5,2015-07-10,2015-08-23,92,10,10,10,10,10,9,0.23
10,1876597,15,2015-01-25,2016-12-28,97,10,9,10,10,10,10,0.54
11,17264039,31,2014-11-22,2017-03-27,93,10,10,10,10,10,9,1.04
12,5994344,11,2017-02-11,2017-04-29,98,10,10,10,10,9,10,4.02
13,26763810,0,,,,,,,,,,
14,27240293,11,2015-02-16,2016-01-16,95,9,9,9,9,9,10,0.41
15,69003286,0,,,,,,,,,,
16,94034299,3,2017-04-06,2017-04-17,100,10,10,10,10,9,10,3.0
17,92029437,8,2017-03-19,2017-04-29,97,10,10,10,10,9,10,5.22
18,14278191,21,2016-11-20,2017-04-30,98,10,10,10,10,10,10,3.82
19,53600974,11,2016-10-15,2017-02-27,100,10,10,10,10,10,10,1.64
20,9041863,72,2015-09-21,2017-02-12,96,10,10,10,10,9,10,3.65
21,17985166,0,,,,,,,,,,
22,4925531,29,2016-06-02,2017-04-23,92,9,10,10,10,10,10,2.59
23,19976921,33,2015-05-23,2016-05-04,85,9,8,10,10,10,9,1.39
24,767,1,2016-06-14,2016-12-30,80,10,10,10,10,10,8,0.09
25,3638697,9,2016-07-29,2017-04-06,98,10,10,10,10,10,10,0.97
26,12507557,81,2015-01-28,2017-04-09,96,10,10,10,10,9,9,2.94
27,2127973,24,2015-11-07,2017-04-16,95,10,9,10,10,10,10,1.32
28,35163508,1,2017-03-27,2017-03-27,80,8,10,10,10,10,10,0.79
29,9171,33,2009-08-31,2017-04-17,94,10,10,10,9,9,9,0.35
30,50986630,0,,,,,,,,,,
31,3941221,14,2015-06-20,2017-01-02,96,10,10,10,10,10,10,0.61
32,48809775,0,,,,,,,,,,
33,3685,21,2014-03-01,2017-02-24,96,9,9,10,10,10,9,0.54
34,65149660,4,2016-04-15,2016-06-05,100,10,10,10,10,10,10,0.31
35,7182808,9,2016-06-13,2017-04-15,85,9,8,10,10,10,9,0.83
36,2887127,2,2017-03-24,2017-04-19,100,10,10,10,10,10,10,1.46
37,101127126,1,2017-04-20,2017-04-20,80,10,6,10,10,6,8,1.0
38,11105778,97,2014-01-20,2017-04-28,93,10,10,10,10,10,9,2.43
39,89746190,3,2016-11-19,2017-02-01,87,9,9,9,9,10,9,0.54
40,1454964,2,2016-11-13,2017-03-10,90,8,9,9,8,9,9,0.35
41,26025871,1,2016-01-15,2016-01-15,60,10,10,10,10,10,8,0.06
42,43812214,10,2016-03-24,2016-12-27,98,10,10,10,10,10,10,0.74
43,9872749,0,,,,,,,,,,
44,38250065,31,2016-10-12,2017-04-26,97,10,10,10,10,10,10,4.56
45,90551238,0,,,,,,,,,,
46,85312238,6,2017-03-06,2017-04-22,90,8,9,10,10,6,9,3.05
47,3379091,4,2013-09-30,2016-05-14,90,9,9,9,9,9,9,0.09
48,46333806,51,2015-10-12,2017-04-10,97,10,10,10,10,10,10,2.69
49,21372666,9,2016-01-10,2017-04-30,100,10,10,10,10,10,10,0.56
50,97175766,0,,,,,,,,,,
51,5437481,24,2016-08-08,2017-04-09,99,10,10,10,10,10,10,2.68
52,87867794,2,2016-08-09,2016-08-18,70,6,6,10,10,10,7,0.22
53,25759020,50,2016-05-02,2017-05-01,92,10,9,10,10,9,9,4.09
54,22022352,9,2016-06-18,2017-04-11,80,8,8,9,9,8,7,0.84
55,7992508,18,2013-11-03,2017-04-17,99,10,9,10,10,10,9,0.42
56,97303284,4,2017-02-14,2017-04-14,90,9,8,10,10,10,10,1.52
57,35524432,13,2016-06-24,2016-08-28,98,10,10,10,10,9,10,1.24
58,114360857,2,2017-02-12,2017-02-20,80,7,8,9,9,5,6,0.74
59,45324825,1,2017-04-10,2017-04-10,100,10,10,10,10,10,10,1.0
60,12807196,7,2016-09-12,2017-03-17,94,10,9,10,10,10,10,0.9
61,12227135,9,2017-03-02,2017-04-22,98,10,10,10,10,10,10,4.29
62,166089,61,2014-06-26,2017-04-30,89,9,9,9,10,10,9,1.75
63,66243566,1,2017-02-12,2017-02-12,100,10,10,10,10,10,10,0.37
64,2058419,3,2013-01-01,2015-09-10,100,10,10,10,10,10,10,0.06
65,63208372,2,2017-03-19,2017-04-02,100,10,10,10,10,10,10,1.3
66,26714731,0,,,,,,,,,,
67,33659101,0,,,,,,,,,,
68,12831142,6,2016-11-06,2017-04-26,100,10,10,10,10,10,10,1.01
69,5955579,37,2013-05-30,2017-03-28,99,10,10,10,10,10,9,0.77
70,690099,18,2016-08-03,2017-04-21,91,10,9,9,9,10,9,1.97
71,21304470,24,2015-05-27,2017-03-25,98,10,10,10,10,10,10,1.02
72,6457164,3,2015-08-17,2016-11-20,93,10,9,10,10,9,10,0.14
73,119012327,15,2017-03-10,2017-04-21,97,10,10,10,10,10,10,8.18
74,75052,200,2010-02-22,2017-05-01,97,10,10,10,10,10,9,2.28
75,106026643,0,,,,,,,,,,
76,55164533,2,2016-05-08,2017-03-12,100,10,10,10,10,10,8,0.17
77,25902066,4,2015-08-23,2016-09-05,100,10,10,10,10,10,9,0.19
78,4509643,4,2017-04-16,2017-04-27,100,10,10,10,10,10,10,4.0
79,54224577,5,2017-03-13,2017-04-01,100,10,10,10,10,10,10,2.88
80,92390530,22,2016-09-04,2017-01-09,86,9,8,9,10,9,9,2.73
81,30872820,17,2015-06-13,2017-04-09,91,10,8,10,10,10,9,0.74
82,48339015,2,2017-03-09,2017-03-12,100,10,10,10,10,10,10,1.07
83,90758261,8,2016-10-16,2017-02-20,95,10,10,10,9,9,9,1.2
84,16381957,2,2016-07-11,2016-08-08,100,10,8,10,10,10,10,0.2
85,15336919,15,2015-07-25,2017-02-06,83,8,9,9,9,9,8,0.69
86,13386202,6,2017-02-05,2017-04-15,87,9,8,9,9,9,8,2.05
87,4374692,13,2016-10-29,2017-03-29,100,10,10,10,10,10,10,2.09
