host_id,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
9464908,1,2016-11-14,2016-11-14,100.0,10.0,6.0,,10.0,,,0.18
48449293,6,2016-08-01,2017-02-13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.65
45839570,1,2017-01-01,2017-01-01,80.0,10.0,8.0,10.0,10.0,10.0,10.0,0.24
171168,14,2014-07-20,2016-08-21,91.0,9.0,8.0,10.0,10.0,10.0,9.0,0.41
8258320,22,2014-11-17,2017-02-05,97.0,10.0,10.0,10.0,10.0,9.0,9.0,0.73
92997417,42,2016-09-08,2017-04-18,94.0,9.0,9.0,10.0,10.0,10.0,10.0,5.29
76546301,7,2016-12-02,2016-12-29,94.0,10.0,10.0,10.0,10.0,10.0,10.0,1.37
8851608,20,2014-10-31,2017-02-28,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.66
1483219,0,,,,,,,,,,
12521683,5,2015-07-10,2015-08-23,92.0,10.0,10.0,10.0,10.0,10.0,9.0,0.23
1876597,15,2015-01-25,2016-12-28,97.0,10.0,9.0,10.0,10.0,10.0,10.0,0.54
17264039,31,2014-11-22,2017-03-27,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1.04
5994344,11,2017-02-11,2017-04-29,98.0,10.0,10.0,10.0,10.0,9.0,10.0,4.02
26763810,0,,,,,,,,,,
27240293,11,2015-02-16,2016-01-16,95.0,9.0,9.0,9.0,9.0,9.0,10.0,0.41
69003286,0,,,,,,,,,,
94034299,3,2017-04-06,2017-04-17,100.0,10.0,10.0,10.0,10.0,9.0,10.0,3.0
92029437,8,2017-03-19,2017-04-29,97.0,10.0,10.0,10.0,10.0,9.0,10.0,5.22
14278191,21,2016-11-20,2017-04-30,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.82
53600974,11,2016-10-15,2017-02-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.64
9041863,72,2015-09-21,2017-02-12,96.0,10.0,10.0,10.0,10.0,9.0,10.0,3.65
17985166,0,,,,,,,,,,
4925531,29,2016-06-02,2017-04-23,92.0,9.0,10.0,10.0,10.0,10.0,10.0,2.59
19976921,33,2015-05-23,2016-05-04,85.0,9.0,8.0,10.0,10.0,10.0,9.0,1.39
767,1,2016-06-14,2016-12-30,80.0,10.0,10.0,10.0,10.0,10.0,8.0,0.09
3638697,9,2016-07-29,2017-04-06,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.97
