id,host_id,price,affordability
15461810,9464908,$25.00,Cheap $0-49
13416156,48449293,$115.00,affordable $51-200
9136734,45839570,$135.00,affordable $51-200
3378135,171168,$69.00,affordable $51-200
4403665,8258320,$130.00,affordable $51-200
14854267,92997417,$59.00,affordable $51-200
15207910,76546301,$29.00,Cheap $0-49
4093959,8851608,$170.00,affordable $51-200
13479161,1483219,$50.00,Cheap $0-49
7117301,12521683,$119.00,affordable $51-200
1807080,1876597,$225.00,expensive $200-500
4372192,17264039,$110.00,affordable $51-200
16298317,5994344,$68.00,affordable $51-200
15774349,26763810,$59.00,affordable $51-200
5262247,27240293,$99.00,affordable $51-200
17226388,69003286,$75.00,affordable $51-200
18004419,94034299,$55.00,affordable $51-200
17333752,92029437,$97.00,affordable $51-200
16016181,14278191,$80.00,affordable $51-200
15224549,53600974,$114.00,affordable $51-200
7702451,9041863,$51.00,affordable $51-200
10144131,17985166,$90.00,affordable $51-200
917196,4925531,$52.00,affordable $51-200
6451549,19976921,$135.00,affordable $51-200
344,767,$168.00,affordable $51-200
14143224,3638697,$189.00,affordable $51-200
5078176,12507557,$38.00,Cheap $0-49
3291844,2127973,$229.00,expensive $200-500
17517319,35163508,$70.00,affordable $51-200
5729,9171,$105.00,affordable $51-200
9917115,50986630,$299.00,expensive $200-500
4263123,3941221,$80.00,affordable $51-200
9413704,48809775,$65.00,affordable $51-200
1866050,3685,$170.00,affordable $51-200
12136852,65149660,$140.00,affordable $51-200
13049719,7182808,$27.00,Cheap $0-49
16813211,2887127,$55.00,affordable $51-200
18124218,101127126,$55.00,affordable $51-200
2177545,11105778,$100.00,affordable $51-200
14522689,89746190,$78.00,affordable $51-200
14861467,1454964,$199.00,affordable $51-200
10452522,26025871,$90.00,affordable $51-200
11660192,43812214,$95.00,affordable $51-200
7386665,9872749,"$1,500.00",very expensive $500+
15341907,38250065,$69.00,affordable $51-200
14596773,90551238,"$1,000.00",very expensive $500+
17362678,85312238,$75.00,affordable $51-200
667836,3379091,$125.00,affordable $51-200
8848157,46333806,$203.00,expensive $200-500
4119889,21372666,$36.00,Cheap $0-49
16635538,97175766,$69.00,affordable $51-200
14232433,5437481,$150.00,affordable $51-200
14343834,87867794,$50.00,Cheap $0-49
12011114,25759020,$35.00,Cheap $0-49
6586258,22022352,$100.00,affordable $51-200
1495256,7992508,$599.00,very expensive $500+
15470075,97303284,$280.00,expensive $200-500
13045937,35524432,$165.00,affordable $51-200
17041478,114360857,$150.00,affordable $51-200
17731367,45324825,$57.00,affordable $51-200
14983474,12807196,$141.00,affordable $51-200
15325438,12227135,$85.00,affordable $51-200
3319449,166089,$151.00,affordable $51-200
16926535,66243566,$75.00,affordable $51-200
741486,2058419,$230.00,expensive $200-500
17560598,63208372,$89.00,affordable $51-200
5164711,26714731,$270.00,expensive $200-500
6461609,33659101,$185.00,affordable $51-200
15485898,12831142,$125.00,affordable $51-200
1083221,5955579,$400.00,expensive $200-500
14285269,690099,$74.00,affordable $51-200
6337392,21304470,$69.00,affordable $51-200
7840489,6457164,$80.00,affordable $51-200
17544188,119012327,$83.00,affordable $51-200
19887,75052,$75.00,affordable $51-200
16225594,106026643,$56.00,affordable $51-200
11418978,55164533,$62.00,affordable $51-200
7637088,25902066,$65.00,affordable $51-200
17834490,4509643,$95.00,affordable $51-200
17587863,54224577,$50.00,Cheap $0-49
14793008,92390530,$55.00,affordable $51-200
5946840,30872820,$72.00,affordable $51-200
16977437,48339015,$125.00,affordable $51-200
14633914,90758261,$170.00,affordable $51-200
12267664,16381957,$125.00,affordable $51-200
7402852,15336919,$110.00,affordable $51-200
16781175,13386202,$99.00,affordable $51-200
15547856,4374692,$90.00,affordable $51-200
3751157,10695276,$150.00,affordable $51-200
3884769,20089599,$125.00,affordable $51-200
9884280,50849425,$98.00,affordable $51-200
12854744,60414489,$140.00,affordable $51-200
10273397,10348368,$640.00,very expensive $500+
10158286,35660072,$50.00,Cheap $0-49
4174951,21664149,$38.00,Cheap $0-49
11225664,10651976,$73.00,affordable $51-200
15494283,99502905,$80.00,affordable $51-200
3946162,15223759,$750.00,very expensive $500+
11356192,70344,$169.00,affordable $51-200
18225221,24041211,$80.00,affordable $51-200
9775642,50397645,$149.00,affordable $51-200
4706509,24233754,$250.00,expensive $200-500
16767390,72568176,$70.00,affordable $51-200
7921467,41771987,$135.00,affordable $51-200
16930585,113111625,$78.00,affordable $51-200
18278021,125888051,$20.00,Cheap $0-49
16639817,97806979,$29.00,Cheap $0-49
16113950,48086838,$59.00,affordable $51-200
10525470,54270621,$55.00,affordable $51-200
2050739,2155546,$450.00,expensive $200-500
10452803,47331910,$65.00,affordable $51-200
5192300,22171649,$390.00,expensive $200-500
