host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_listings_in_sample,host_verifications,host_has_profile_pic,host_identity_verified
767,Melissa,2008-07-11,"Burbank, California, United States",,,False,Burbank,1.0,1,"['email', 'phone', 'reviews', 'jumio', 'kba']",True,True
3415,Nataraj,2008-10-02,"Los Angeles, California, United States",within a day,70.0,False,Laurel Canyon,6.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
3685,Jen,2008-10-16,United States,within a day,90.0,True,Studio City,4.0,2,"['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']",True,True
6829,Barrett,2009-01-16,"Los Angeles, California, United States",within an hour,100.0,False,Mid-City,5.0,2,"['email', 'phone', 'reviews', 'jumio']",True,True
9171,Sanni,2009-03-05,"Los Angeles, California, United States",within an hour,100.0,True,Del Rey,7.0,2,"['email', 'phone', 'facebook', 'reviews']",True,False
10569,Lisa,2009-03-17,"Los Angeles, California, United States",within an hour,100.0,True,Mid-City,4.0,1,"['email', 'phone', 'amex', 'reviews', 'kba']",True,True
11619,Sarah,2009-03-28,"Los Angeles, California, United States",within an hour,100.0,False,Woodland Hills/Warner Center,8.0,3,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
15210,Luis,2009-04-28,"Los Angeles, California, United States",within a few hours,100.0,False,Silver Lake,1.0,1,"['email', 'phone', 'facebook', 'amex', 'reviews', 'jumio']",True,True
18122,Leilani & Ova & Nouthak,2009-05-20,"Los Angeles, California, United States",within a few hours,100.0,True,,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
19015,Gia,2009-05-27,"Los Angeles, California, United States",,,False,Los Feliz,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
19051,Alex,2009-05-27,"New York, New York, United States",,,False,Mid-Wilshire,1.0,1,"['email', 'phone', 'facebook', 'jumio']",True,True
21256,Stephanie,2009-06-12,"Los Angeles, California, United States",within an hour,100.0,False,Studio City,2.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']",True,True
22188,Laura,2009-06-18,"Los Angeles, California, United States",within a day,100.0,False,Hollywood,1.0,1,"['email', 'phone', 'reviews']",True,False
22460,Sher,2009-06-20,"Beverly Hills, California, United States",within an hour,90.0,False,South Robertson,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']",True,True
22570,Angelique,2009-06-21,"Santa Monica, California, United States",within an hour,100.0,False,Santa Monica,2.0,2,"['email', 'phone', 'reviews', 'jumio']",True,True
23567,Mayumi,2009-06-28,"Los Angeles, California, United States",within a few hours,100.0,False,Downtown,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",True,True
25523,Chuck,2009-07-13,"Los Angeles, California, United States",within an hour,100.0,False,Echo Park,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
26069,Gary,2009-07-17,"Los Angeles, California, United States",within a day,80.0,False,North Hollywood,6.0,3,"['email', 'phone', 'reviews', 'jumio']",True,True
26860,Elvina,2009-07-22,"Los Angeles, California, United States",within an hour,95.0,False,Hollywood,35.0,10,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
28569,Robert,2009-07-29,"Los Angeles, California, United States",within a few hours,100.0,True,Hollywood Hills,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
30319,Cristina,2009-08-07,"Los Angeles, California, United States",within a day,100.0,False,Venice,2.0,1,"['email', 'phone', 'reviews']",True,False
32884,Gayle,2009-08-20,"Los Angeles, California, United States",within an hour,100.0,True,West Adams,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
34879,Abigail,2009-08-30,"Los Angeles, California, United States",within an hour,100.0,False,Mid-Wilshire,2.0,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
37319,Chaz,2009-09-09,"Los Angeles, California, United States",within an hour,100.0,False,Inglewood,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
38596,Debra,2009-09-14,"Los Angeles, California, United States",within an hour,100.0,False,Mid-Wilshire,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
