Host ID,Number of Reviews,First Review,Last Review,Overall Rating,Review Score,Accuracy,Cleanliness,Check-In,Communication,Location,Value,Reviews per Month,Category Average
9464908,1,2016-11-14,2016-11-14,100,Very High,10,6,,10,,,0.18,8.666666666666666
48449293,6,2016-08-01,2017-02-13,100,Very High,10,10,10,10,10,10,0.65,10.0
45839570,1,2017-01-01,2017-01-01,80,High,10,8,10,10,10,10,0.24,9.666666666666666
171168,14,2014-07-20,2016-08-21,91,Very High,9,8,10,10,10,9,0.41,9.333333333333334
8258320,22,2014-11-17,2017-02-05,97,Very High,10,10,10,10,9,9,0.73,9.666666666666666
92997417,42,2016-09-08,2017-04-18,94,Very High,9,9,10,10,10,10,5.29,9.666666666666666
76546301,7,2016-12-02,2016-12-29,94,Very High,10,10,10,10,10,10,1.37,10.0
8851608,20,2014-10-31,2017-02-28,99,Very High,10,10,10,10,10,10,0.66,10.0
12521683,5,2015-07-10,2015-08-23,92,Very High,10,10,10,10,10,9,0.23,9.833333333333334
1876597,15,2015-01-25,2016-12-28,97,Very High,10,9,10,10,10,10,0.54,9.833333333333334
17264039,31,2014-11-22,2017-03-27,93,Very High,10,10,10,10,10,9,1.04,9.833333333333334
5994344,11,2017-02-11,2017-04-29,98,Very High,10,10,10,10,9,10,4.02,9.833333333333334
27240293,11,2015-02-16,2016-01-16,95,Very High,9,9,9,9,9,10,0.41,9.166666666666666
94034299,3,2017-04-06,2017-04-17,100,Very High,10,10,10,10,9,10,3.0,9.833333333333334
92029437,8,2017-03-19,2017-04-29,97,Very High,10,10,10,10,9,10,5.22,9.833333333333334
14278191,21,2016-11-20,2017-04-30,98,Very High,10,10,10,10,10,10,3.82,10.0
53600974,11,2016-10-15,2017-02-27,100,Very High,10,10,10,10,10,10,1.64,10.0
9041863,72,2015-09-21,2017-02-12,96,Very High,10,10,10,10,9,10,3.65,9.833333333333334
4925531,29,2016-06-02,2017-04-23,92,Very High,9,10,10,10,10,10,2.59,9.833333333333334
19976921,33,2015-05-23,2016-05-04,85,Very High,9,8,10,10,10,9,1.39,9.333333333333334
