Summary,Host ID,Polarity Score,Polarity Sentiment,Subjectivity Score,Subjectivity Sentiment
"small room twin bed . room part large multi-room building dorm-style- shared bathroom kitchen . free parking wifi . mile lax . 10 mile beverly hill , santa monica , venice , etc . lower-middle class neighborhood . place close airport , public transport , park . place good solo adventurer .",9464908,0.21285714285714286,positive,0.45904761904761904,objective
"comfortable , quiet room , located hill rowland height , close many supermarket , shop , lot restaurant . 30 min disneyland , downtown los angeles , easy access major freeway ! also offer airport pick drop , local private tour , call price !",48449293,0.2016369047619048,positive,0.4773809523809524,objective
"beautiful , newly remodeled 3br 2ba apartment heart westside . 10 min walk venice beach , 5 minute walk abbot kinney , 8 minute drive santa monica pier , 25 minute drive dtla hollywood . close convenient lax . great anyone trying come visit la offer ! quick walk venice marina del rey bar perfect spot holiday getaway la !",45839570,0.6639393939393939,positive,0.740909090909091,objective
"perfect place traveler best area los angeles . super close marina del rey/venice beach , freeway , heart downtown culver city . walk cafes/bars/farmer 's market . 'll amazing stay !",171168,0.7708333333333334,positive,0.7166666666666667,objective
"stay 31 day pay tax . large bright 1 bd apartment , view private . parking , washer dryer , dishwasher everything need feel home . re-done new . centrally located . everything included : parking , untilites , internet , wifi , cable tv .",8258320,0.21012987012987017,positive,0.46162337662337655,objective
"private room queen bed 4 bedroom house . bathroom right next bedroom . full access house included . many amenity . quiet neighborhood . place city granada hill close 118 freeway . conveniently located close many shopping center , hiking trail , northridge mall .",92997417,0.1919642857142857,positive,0.36175595238095243,objective
"独立百万house位于罗兰岗香港广场后边 , 位置便利 , 步行到三大超市、银行、商场 , 餐厅 , 幼儿园 , 公园。产检大楼和医院都很近 , 后边有大院子四季结柠檬 , 满树枇杷快熟了 , 双门大冰箱、洗衣机、烘干机、微波炉、烤箱、餐具厨具、床品、高速网一应俱全 , 免费停车位 , 房间在二楼 , 很私人很安静 , 房内全新queen size大床高档家具 , 卫生间宽敞干净 , 在这里居住方便舒适安全 , 欢迎旅游出差及孕妈订房",76546301,0.0,neutral,0.0,neutral
"1960 's retro themed luxury apartment building mid-mod decor transport back era opulence american optimism . looking one kind nostalgic experience absolutely beyond compare , look . surrounded fabulous restaurant , coffee shop , wine bar , lack great entertainment within walking distance apartment .",8851608,0.21428571428571427,positive,0.65,objective
"place good couple , solo adventurer , business traveler , family ( kid ) .",1483219,0.7,positive,0.6000000000000001,objective
"apartment located fun neighborhood , 5 minute walk beach , shop , ton bar & restaurant . great place relax explore .",12521683,0.55,positive,0.475,objective
"westside la contemporary home located quiet , safe , residential neighborhood ; ideally situated near lax & beach . open floor plan , modern amenity , great back deck/yard bbqs make great choice la visit !",1876597,0.3666666666666667,positive,0.4699999999999999,objective
"comfortable private 1 bedroom apartment exclusive los angeles neighborhood , far downtown , civic center , university college , metro , freeway , shop , restaurant , city attraction . yet , feel far city ! 's quiet , surrounded tree , bird fountain . location perfect work relaxation !",17264039,0.21785714285714283,positive,0.6583333333333333,objective
"welcome palm studio . great location . central . 4 mile venice , 5 beverly hill . lot public transit nearby . 405 close . walking distance nightlife . put place together january , everything inside new . keep clean tidy . space 250 square foot , 's big enough 1 2 people . queen size super comfortable bed . mini kitchen w/ microwave , cooktop , fridge , coffee maker , toaster , sink .",5994344,0.31239669421487604,positive,0.5443526170798898,objective
